,product
75,"['PrimeFood - 西班牙 Ferrer 熟章魚 (急凍:存放-18℃)#海鮮', '$ 145.00']"
76,"['寶達 - 美國銀鱈魚扒 300g (急凍)', '$ 175.60']"
77,"['Pacific West - [新包裝登場]香酥炸魚手指 (急凍-18°C)#炸物#氣炸', '$ 39.90']"
78,"['海產佬 - 酸菜魚湯包 (翻熱即食) 附酸菜湯料及鮮滑生魚片 (急凍)', '$ 39.90']"
79,"['卡美 - 煙挪威三文魚切片 (急凍-18°C)#海鮮#沙律', '$ 37.90']"
80,"['Norsk Sjømat AS - 挪威煙三文魚切片(急凍-18°C)#海鮮#沙律', '$ 40.00']"
81,"['Storm Seafood - 挪威去皮三文魚塊 (急凍-18°C)#無皮#海鮮#煎焗', '$ 109.90']"
82,"['大街市 - 挪威三文魚柳(急凍-18°C)', '$ 89.90']"
83,"['大街市 - 挪威三文魚柳(急凍-18°C)#海鮮#鐵板#煎焗', '$ 40.00']"
84,"['大街市 - 美國阿拉斯加銀鱈魚柳 (3件裝)(急凍)', '$ 89.90']"
85,"['鮮魚薈 - 冰鮮鮮滑生魚片 ( 冰鮮0-4°C)', '$ 39.90']"
86,"['卡美 - 煙刁草挪威三文魚切片 (急凍-18°C)#海鮮#沙律#煎焗', '$ 39.90']"
87,"['大街市 - 脆肉鯇魚片(急凍-18°C)', '$ 40.00']"
88,"['Fine Food - 正宗酸菜魚 (急凍)', '$ 59.90']"
89,"['Isfjord - 挪威三文魚柳 (連皮) (急凍-18°C)', '$ 109.90']"
90,"['卡美 - 煙挪威三文魚切片 (急凍-18°C)#海鮮#沙律#煙三文魚', '$ 79.90']"
91,"['尚煮食品 - 挪威煙三文魚 (鱒魚/連包裝約400-500g /-18°C)', '$ 118.00']"
92,"['大街市 - 多春魚(急凍-18°C)', '$ 39.90']"
93,"['大街市 - 特大蒲燒鰻魚 (急凍-18°C)#海鮮#氣炸', '$ 89.90']"
94,"['大街市 - 海捕盲曹魚柳 (急凍-18°C)#海鮮#氣炸#煎焗', '$ 39.90']"
95,"['大街市 - 美國銀鱈魚扒 (急凍-18°C)#海鮮#鐵板#氣炸#煎焗', '$ 119.90']"
96,"['德仕高 - 挪威煙三文魚500克 (淨重約400克) (急凍)', '$ 117.00']"
97,"['大街市 - 挪威4片裝三文魚柳(急凍-18°C)#海鮮#煎焗', '$ 109.90']"
98,"['尚煮食品 - 加拿大野生三文魚柳 ( 4件 /-18°C)', '$ 178.00']"
99,"['漁嘩啦 - 四川黃金湯酸菜魚(急凍-18°C)', '$ 60.00']"
100,"['卡美 - 煙黑椒挪威三文魚切片 (急凍-18°C)#海鮮#沙律#煎焗', '$ 39.90']"
101,"['海產佬市集 - 印尼海捕鮫魚扒(2塊裝)300g(急凍-18°C)', '$ 40.00']"
102,"['鮮魚薈 - 冰鮮脆肉鯇魚片 (冰鮮0-4°C)', '$ 56.00']"
103,"['海產佬市集 - 全天然系列急凍格靈蘭比目魚塊(帶皮)(急凍-18°C)', '$ 55.00']"
104,"['鮮魚薈 - 冰鮮一夜干黃花魚 (去鱗去腮去骨去臟)(冰鮮0-4°C)', '$ 40.00']"
105,"['渡邊水產 - 火鍋魚肚', '$ 55.90']"
106,"['鮮魚薈 - 冰鮮純大眼雞海魚湯(冰鮮0-4°C)', '$ 40.00']"
107,"['鮮魚薈 - 冰鮮黃花魚(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 55.00']"
108,"['全城熱賣 - [海] · ❤️e閃購❤️ 挪威三文魚腩條 (500g 挪威三文魚腩條) #salessea', '$ 60.00']"
109,"['港食肉 - 去骨小黃花魚(400g/包)(急凍 -18°C)', '$ 40.00']"
110,"['大街市 - 越南石斑魚片 (急凍-18°C)#海鮮#氣炸', '$ 40.00']"
111,"['鮮魚薈 - 冰鮮脆肉羅菲魚片 (冰鮮0-4°C)', '$ 40.00']"
112,"['大榮食品 - 巨型原條蒲燒鰻魚300克(急凍)', '$ 88.90']"
113,"['大滋野 - [海] · ❤️e閃購❤️ 日式味醂魚乾 (120±) 4片裝 急凍 #salessea', '$ 59.90']"
114,"['LEADER MARINE - 急凍台灣龍膽石斑件 (龍躉魚件)', '$ 75.00']"
115,"['芬姐廚房 - 加拿大野生Sockeye有皮三文魚柳 (4塊/400g) 急凍 -18°C 375054', '$ 182.00']"
116,"['Pacific West - 香酥炸魚手指 #氣炸鍋#煎焗炸#吉列(急凍)', '$ 39.90']"
117,"['大街市 - 秋刀魚(急凍-18°C)', '$ 20.00']"
118,"['大街市 - 黃花魚(已去鱗/去腮/去臟)(急凍-18°C)', '$ 20.00']"
119,"['鮮魚薈 - 新鮮挪威三文魚柳(冰鮮0-4°C)', '$ 69.90']"
120,"['大街市 - 香酥魚手指(急凍-18°C)#炸物#氣炸', '$ 29.90']"
121,"['漁鮮快遞  - 立魚柳1塊 200-250g(急凍)', '$ 20.00']"
122,"['全城熱賣 - [海] · ❤️e閃購❤️ 加拿大野生三文魚柳 (320g± 橙袋三文魚柳) #salessea', '$ 60.00']"
123,"['CoolFood - (1磅！) 加拿大精選多春魚 #多卵#氣炸#燒烤#深海魚#海鮮#魚卵#魚子鱼籽#煎炸#韓燒#蛋白質#佐酒小食#屋酒屋小食(急凍)', '$ 49.90']"
124,"['海產佬市集 - 野生海捕全清墨魚頭', '$ 38.80']"
125,"['Hoki - [HOK] · ❤️e閃購❤️ 紐西蘭 Independent Hoki 鱈魚柳 (440g [紫] 鱈魚柳) 急凍-18ºC', '$ 40.00']"
126,"['海產佬市集 - 全天然系列急凍美國銀鱈魚扒 340g', '$ 118.00']"
127,"['寶達 - 日式蒲燒大鰻魚扒 (300g) (急凍-18°C)#海鮮#炭燒#拌飯#配酒', '$ 108.00']"
128,"['海產佬市集 - 全清墨魚仔 290g (急凍-18°C)', '$ 55.00']"
129,"['海產佬市集 - 急凍嫩滑生魚片 250克 (急凍-18°C)', '$ 38.00']"
130,"['寶達 - 海鱸魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 58.00']"
131,"['寶達 - 梭羅魚 (冰鮮)', '$ 18.00']"
132,"['全城熱賣 - [海] · ❤️e閃購❤️ 美國 野生有皮紅鮭三文魚柳 (320g± 黑袋Sockeye三文魚)連皮/急凍 #salessea', '$ 89.90']"
133,"['Mt Cook - 紐西蘭帝王三文魚柳 200g (急凍-18°C)', '$ 123.00']"
134,"['鮮魚薈 - 冰鮮馬友魚(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 68.00']"
135,"['Foodianna - [海] · ❤️e閃購❤️ 冰島 格陵蘭比目魚扒 (360g± 比目魚扒) #salessea', '$ 59.90']"
136,"['渡邊水產 - 阿拉斯加銀雪魚扒', '$ 88.00']"
137,"['大街市 - 粒粒墨魚滑 (急凍-18°C)#海鮮#打邊爐#串燒', '$ 39.90']"
138,"['寶達 - 青斑 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 105.00']"
139,"['德仕高 - 三文魚鰭腩(蘇格蘭原料)(500克)', '$ 58.00']"
140,"['CookCookLand - 美國阿拉斯加野生紅鮭三文魚扒 (Sockeye) 320g (急凍)', '$ 97.00']"
141,"['激安百貨 - 加拿大野生 優質 三文魚 320G (豐富Omega-3!!) (急凍-18)', '$ 88.00']"
142,"['海產佬市集 - 日本直入油甘魚鮫(2件裝) **350克** (急凍-18°C) #煎 #焗 # 炸', '$ 108.00']"
143,"['34° Natural Food - 冰島多春魚 (急凍 -18°C) 170g', '$ 26.00']"
144,"['大街市 - 挪威三文魚扒(2片裝)(急凍-18°C)#海鮮#煎焗', '$ 60.00']"
145,"['全城熱賣 - [PZ] · ❤️e閃購❤️ 日式 蒲燒特上長鰻魚 (250g 星鰻魚) 急凍 #salespz', '$ 69.90']"
146,"['鵬鵬凍肉 - 厚切黑魚片 (250克 - 急凍-18°C)', '$ 35.00']"
147,"['海產佬市集 - 挪威三文魚柳兩件裝 (急凍-18°C)#海鮮#氣炸#香煎 (急凍-18°C)', '$ 59.90']"
148,"['GNA HK - 韓國海鹽牙带魚約500g(急凍)', '$ 98.00']"
149,"['芬姐廚房 - 加拿大野生銀鱈魚柳 (165g) 急凍 -18°C 375108', '$ 160.00']"
150,"['寶達 - 沙巴龍躉 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 98.00']"
151,"['海產佬市集 - 印尼海捕墨魚柳(急凍-18°C)', '$ 58.80']"
152,"['寶達 - 大黃花魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 50.00']"
153,"['尚上品 - 優質格陵蘭比目魚扒 (360克) (急凍)', '$ 78.80']"
154,"['鱻 - 重慶金湯酸菜魚(急凍 -18℃)', '$ 68.00']"
155,"['鵬鵬凍肉 - 去骨小黃花魚 (635克 - 急凍-18°C)', '$ 75.00']"
156,"['PrimeFood - 中國 陸拾年老師傅 熟烤魚 蒜香味 (急凍:存放-18℃)#海鮮#微波爐#水煮', '$ 60.00']"
157,"['漁嘩啦 - 重慶紅薯粉水煮魚(急凍-18°C)', '$ 60.00']"
158,"['Pacific West - 香酥芝士魚柳 近1KG 經濟實惠套裝 (290g@3盒/set) (急凍)-氣炸必選!!! #抵食價 #芝士控 #氣炸', '$ 99.90']"
159,"['海產佬市集 - 日本直入油甘魚鮫(2件裝) (急凍-18°C) #煎 #焗 # 炸 (急凍-18°C)', '$ 98.00']"
160,"['寶達 - 左口魚裙邊刺身 (20片)', '$ 29.90']"
161,"['海產佬市集 - 急凍*京都市場*※日本柚子塩麹漬 -《銀鮭》三文魚柳 (急凍-18°C)', '$ 40.00']"
162,"['Siam - 智利三文魚頭+尾 (超大) #魚 #海鮮 #魚片 #魚扒', '$ 60.00']"
163,"['海產佬市集 - 全天然系列急凍格靈蘭海捕比目魚柳(去皮) 360g', '$ 59.90']"
164,"['ERIK’S MEATS - 急凍加拿大天然野生有皮三文魚柳 (4 塊/ ""400克""/包)', '$ 185.00']"
165,"['寶達 - 黃鰭吞拿魚刺身 (約300-600g)(急凍-18°C)#解凍即食#鮮甜', '$ 98.00']"
166,"['PrimeFood - 日式Nova Marine蒲燒鰻魚 約200克 (急凍:存放-18℃)#微波爐', '$ 64.50']"
167,"['尚煮食品 - 挪威三文魚柳 ( 4件裝 )#急凍#海鮮#燒#煎#氣炸', '$ 128.00']"
168,"['Chop Chop - 紐西蘭鱈魚柳 440g (急凍) #煎焗', '$ 62.00']"
169,"['LEADER MARINE - 急凍台灣龍膽石斑魚片 (龍躉魚片)', '$ 62.00']"
170,"['漁家 - 魚欄直送-台灣午仔魚(馬友魚) 兩條裝 約500g 已去除內臟及魚鱗(急凍)', '$ 93.00']"
171,"['海產佬市集 - 大西洋三文魚鰭(急凍-18°C)', '$ 34.50']"
172,"['大榮食品 - 活鰻烤制！原條蒲燒鰻魚200克(急凍)', '$ 58.90']"
173,"['大榮食品 - 立魚柳(急凍)', '$ 21.90']"
174,"['LEADER MARINE - 急凍越南木棉魚 (大眼雞)', '$ 28.00']"
175,"['鱻 - 無骨脆肉鯇魚片(急凍 -18℃)', '$ 68.00']"
176,"['Siam - 牙帶魚段(300g+) #魚 #三文魚 #銀雪魚 #海鮮 #蝦', '$ 49.00']"
177,"['鮮魚薈 - 冰鮮印尼野生海捕墨魚仔 ( 已全去內臟) ( 冰鮮0-4°C)', '$ 56.00']"
178,"['鮮魚薈 - 日本九州油甘魚鮫(冰鮮0-4°C)', '$ 68.00']"
179,"['LEADER MARINE - 急凍日本鹽麴銀鮭(三文魚)', '$ 78.00']"
180,"['鮮魚薈 - 冰鮮盲鰽魚(去鱗去鰓去臟)附送薑蔥)(冰鮮0-4°C)', '$ 48.80']"
181,"['漁鮮快遞  - 日本三文魚子(鱒)醬油漬 (250g)(急凍)', '$ 198.00']"
182,"['寶達 - 黃花魚(已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 38.00']"
183,"['鵬鵬凍肉 - 酸菜魚 (480克 - 急凍-18°C)', '$ 65.00']"
184,"['鮮魚薈 - 冰鮮澳洲小鱗犬牙南極魚(白鱈魚柳)200克(冰鮮0-4°C)', '$ 138.00']"
185,"['丸喜水產 - 三文魚腩條 #急凍#煎煮#油香', '$ 52.90']"
186,"['Azure - 智利三文魚柳 2件裝 250克 (急凍-18°C)', '$ 69.90']"
187,"['德仕高 - 挪威Leroy真鱈魚柳 (獨立真空)(急凍)', '$ 115.00']"
188,"['ELEGANT - 挪威急凍切片煙三文魚柳', '$ 105.00']"
189,"['Peter’s Butchery and Kitchen - 新界魚市場: 白鱔 (0-4°C)', '$ 108.00']"
190,"['PrimeFood - 中國 特級羅非魚柳 (急凍:存放-18℃)#海鮮#蒸#煎#焗#煮#烤', '$ 32.50']"
191,"['Siam - 挪威海捕多春魚(10條) #魚 #海鮮 #魚片 #魚扒', '$ 35.00']"
192,"['金之鰻 - 【無激素 無防腐劑】原條蒲燒鰻魚 (細碼)(急凍)', '$ 139.00']"
193,"['全城熱賣 - [海] · ❤️e閃購❤️ 【超肥美】冰島多春魚 (170g 多春魚) #salessea', '$ 32.90']"
194,"['海產佬市集 - 澳洲塔斯曼尼亞急凍三文魚塊(急凍-18°C)', '$ 88.00']"
195,"['TASTIBUY - 魚欄直送-台灣午仔魚(馬友魚) 兩條裝 共約400g已去除內臟及魚鱗(急凍)', '$ 78.00']"
196,"['寶達 - 鯖魚柳 (150g)(急凍-18°C)#烤焗#日式汁燒#氣炸#煎炒煮炸', '$ 10.40']"
197,"['MyFridge - 挪威三文魚柳(非指定部位，帶皮) 約1磅裝 #無添加#無防腐劑', '$ 109.90']"
198,"['寶達 - 日式醋鯖魚刺身 (90g)', '$ 14.90']"
199,"['Ocean Three - 日本希靈魚刺身 #急凍#即食#壽司', '$ 36.50']"
200,"['Chop Chop - 挪威野生比目魚扒 200-300g (急凍) #烤焗 #煎煮', '$ 53.00']"
201,"['海產佬市集 - 海捕金線魚(瓜衫魚)(去鱗去頭去臟) (急凍-18°C)', '$ 38.00']"
202,"['34° Natural Food - 格陵蘭比目魚扒 (急凍 -18°C) 400g #急凍#海鮮#氣炸#煎焗#格陵蘭#比目魚', '$ 49.00']"
203,"['大街市 - 銀魚(2件裝)(急凍-18°C)', '$ 53.80']"
204,"['LEADER MARINE - 急凍台灣龍膽石斑頭丁 (角切龍躉魚頭)', '$ 48.00']"
205,"['大街市 - 香酥魚手指(2件裝)(急凍-18°C)#炸物#氣炸', '$ 59.80']"
206,"['Aqua East - 冰島格陵蘭比目魚(360g) #急凍#海鮮#燒#煎', '$ 40.00']"
207,"['渡邊水產 - 挪威鯖花魚柳(急凍-18°C)#海鮮#煎焗#氣炸', '$ 32.90']"
208,"['雷澳美食 - 卡美牌急凍三文魚鮫 (急凍-18°C存放)有180天保存期(出貨日起計)', '$ 59.90']"
209,"['LEADER MARINE - 急凍越南石斑魚片', '$ 55.00']"
210,"['MyFridge - 挪威三文魚(指定魚腩部位原整一大件，帶皮) (Skin Pack包裝) 約220-250g #無添加#無防腐劑', '$ 76.90']"
211,"['本土養殖 - 黑鱲魚M 無須再洗 一開即煮 (急凍)', '$ 168.00']"
212,"['全城熱賣 - [海] · ❤️e閃購❤️ 蘋果木煙燻挪威三文魚 (100g± ❎ 2 煙三文魚) #salessea', '$ 89.90']"
213,"['34° Natural Food - 美國銀鱈魚扒 2 塊裝 (急凍 -18°C) 300g', '$ 78.00']"
214,"['- - 吞拿魚方塊 (500g) #急凍 #刺身 #Poke #魚生', '$ 88.00']"
215,"['TASTIBUY - 台灣午仔魚(馬友魚) 一條裝270g+ 已去除內臟及魚鱗(急凍)', '$ 53.00']"
216,"['Siam - 格陵蘭比目魚扒 (400g)(3-4塊) #魚 #三文魚 #銀雪魚 #海鮮 #蝦 #生酮 #氣炸鍋', '$ 75.00']"
217,"['本土養殖 - 本目鱸扒M（鱸魚扒）無須再洗 一開即煮（急凍）', '$ 130.00']"
218,"['寶達 - 活凍泥猛 (已去除魚鱗及內臟) (冰鮮)', '$ 28.00']"
219,"['Ocean Three - 越南海鱸魚柳#急凍#海鮮#煎焗', '$ 43.90']"
220,"['鮮魚薈 - 冰鮮金線魚(瓜衫)(去頭去臟去鱗) 冰鮮0-4°C)', '$ 38.00']"
221,"['尚上品 - 紐西蘭有皮帝皇三文魚 (140克) (急凍)', '$ 79.80']"
222,"['寶達 - 寶達 - 東星斑 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 298.00']"
223,"['鮮魚薈 - 冰鮮格零蘭比目魚扒4塊裝 (冰鮮0~4度)', '$ 88.00']"
224,"['海產佬市集 - 即食魷魚仔 (急凍-18°C)', '$ 53.90']"
225,"['Ocean Three - 格陵蘭比目魚扒#急凍#海鮮#煎焗', '$ 56.90']"
226,"['全城熱賣 - [海] · ❤️e閃購❤️ 美國阿拉斯加銀鱈魚柳 (360g± 銀鱈魚柳) #salessea', '$ 99.90']"
227,"['PrimeFood - 台灣秋刀魚 (急凍:存放-18℃)#海鮮#煎#煮#炸#蛋白質', '$ 21.50']"
228,"['海產佬市集 - 日本產赤鮭 (海捕紅三文魚)一夜干 ︱紅鮭の塩漬切身 ︱ (急凍-18°C)', '$ 78.00']"
229,"['寶達 - 墨魚刺身 (20片)(急凍-18°C)#爽口彈牙#鮮嫩#解凍即食', '$ 27.80']"
230,"['漁鮮快遞  - 左口魚群邊刺身20片(急凍)', '$ 38.00']"
231,"['德仕高 - 日本油甘魚鮫 (2-3片)(急凍)', '$ 100.00']"
232,"['雷澳美食 - Polyfood 煙三文魚(急凍存放-18°C)有180天保存期(出貨日起計)', '$ 43.00']"
233,"['34° Natural Food - 金湯酸菜魚 (急凍 -18°C) 405g', '$ 49.00']"
234,"['鯨魚仔 - 比目魚塊（去皮）300g #急凍 #海鮮 #魚柳 #比目魚', '$ 58.00']"
235,"['MyFridge - 越南特大急凍鯰魚柳, ASC認證 , 一包兩大條(每條220g up), 一包總重約500g #生酮#無添加#無防腐劑#炸魚薯條#粟米魚塊', '$ 42.90']"
236,"['Chop Chop - 美國野生銀雪魚扒 300-350g (急凍) #烤焗 #煎煮', '$ 127.00']"
237,"['屋台 - 優質多春魚 (8條/盤 120g) #氣炸 #烤焗 #煎煮 #BBQ #燒烤 #party #海鮮 #佐酒 #日式', '$ 18.00']"
238,"['德仕高 - 法國白鱈魚扒(急凍)', '$ 185.00']"
239,"['真味市場 - 智利三文魚扒 (約500克) (急涷 -18 C )', '$ 60.00']"
240,"['吉永家 - 日式蒲燒汁鰻魚 125g (急凍)', '$ 45.00']"
241,"['Siam - 智利三文魚扒(2-3塊中-細) #魚 #海鮮 #魚片 #魚扒', '$ 78.00']"
242,"['鯨魚仔 - 三文魚鰭 (500g) (急凍 -18°C)', '$ 43.00']"
243,"['鱻 - 手打鯪魚餅(香蔥味) (急凍 -18℃)', '$ 68.00']"
244,"['鮮魚薈 - 冰鮮澳洲塔斯曼尼亞新鮮三文魚柳 *已去鱗/帶皮*(冰鮮0-4°C)', '$ 98.00']"
245,"['海產佬市集 - 澳洲塔斯曼尼亞急凍三文魚柳(2件裝)(急凍-18°C)', '$ 188.00']"
